Barangay_No,Barangay,x,y,Year,Month,Dengue Cases
3,BONBONON,8.2667,124.2902,2015,5,0
3,BONBONON,8.2667,124.2902,2016,5,0
3,BONBONON,8.2667,124.2902,2017,5,0
3,BONBONON,8.2667,124.2902,2018,5,0
3,BONBONON,8.2667,124.2902,2019,5,0
3,BONBONON,8.2667,124.2902,2020,5,0
3,BONBONON,8.2667,124.2902,2021,5,1
3,BONBONON,8.2667,124.2902,2022,5,0
3,BONBONON,8.2667,124.2902,2011,6,0
3,BONBONON,8.2667,124.2902,2012,6,0
3,BONBONON,8.2667,124.2902,2013,6,0
3,BONBONON,8.2667,124.2902,2014,6,0
3,BONBONON,8.2667,124.2902,2015,6,0
3,BONBONON,8.2667,124.2902,2016,6,0
3,BONBONON,8.2667,124.2902,2017,6,0
3,BONBONON,8.2667,124.2902,2018,6,0
3,BONBONON,8.2667,124.2902,2019,6,2
3,BONBONON,8.2667,124.2902,2020,6,0
3,BONBONON,8.2667,124.2902,2021,6,0
3,BONBONON,8.2667,124.2902,2022,6,1
3,BONBONON,8.2667,124.2902,2011,7,0
3,BONBONON,8.2667,124.2902,2012,7,0
3,BONBONON,8.2667,124.2902,2013,7,0
3,BONBONON,8.2667,124.2902,2014,7,0
3,BONBONON,8.2667,124.2902,2015,7,0
3,BONBONON,8.2667,124.2902,2016,7,1
3,BONBONON,8.2667,124.2902,2017,7,0
3,BONBONON,8.2667,124.2902,2018,7,1
3,BONBONON,8.2667,124.2902,2019,7,3
3,BONBONON,8.2667,124.2902,2020,7,0
3,BONBONON,8.2667,124.2902,2021,7,0
3,BONBONON,8.2667,124.2902,2022,7,1
3,BONBONON,8.2667,124.2902,2011,8,0
3,BONBONON,8.2667,124.2902,2012,8,0
3,BONBONON,8.2667,124.2902,2013,8,1
3,BONBONON,8.2667,124.2902,2014,8,0
3,BONBONON,8.2667,124.2902,2015,8,0
3,BONBONON,8.2667,124.2902,2016,8,0
3,BONBONON,8.2667,124.2902,2017,8,0
3,BONBONON,8.2667,124.2902,2018,8,0
3,BONBONON,8.2667,124.2902,2019,8,0
3,BONBONON,8.2667,124.2902,2020,8,0
3,BONBONON,8.2667,124.2902,2021,8,0
3,BONBONON,8.2667,124.2902,2022,8,0
3,BONBONON,8.2667,124.2902,2011,9,1
3,BONBONON,8.2667,124.2902,2012,9,0
3,BONBONON,8.2667,124.2902,2013,9,0
3,BONBONON,8.2667,124.2902,2014,9,0
3,BONBONON,8.2667,124.2902,2015,9,0
3,BONBONON,8.2667,124.2902,2016,9,0
3,BONBONON,8.2667,124.2902,2017,9,0
3,BONBONON,8.2667,124.2902,2018,9,2
3,BONBONON,8.2667,124.2902,2019,9,0
3,BONBONON,8.2667,124.2902,2020,9,0
3,BONBONON,8.2667,124.2902,2021,9,0
3,BONBONON,8.2667,124.2902,2022,9,0
3,BONBONON,8.2667,124.2902,2011,10,0
3,BONBONON,8.2667,124.2902,2012,10,0
